Customer_ID,Age,Gender,City,Unique_Categories,Total_Spend,Avg_Order_Value,Total_Quantity,Total_Discount,Total_Orders,Avg_Session_Time,Avg_Pages_Viewed,Avg_Delivery_Time,Avg_Rating,Returning_Customer,Recency_Days,Cluster,Segment_At Risk Customers,Segment_Low Value Customers,Segment_Regular Customers,Segment_VIP Customers
0,40,0,735,1,219.32,219.32,4,0.0,1,8.0,9.0,8.0,4.0,1,123,2,1,0,0,0
1,33,0,1284,1,332.34,332.34,2,0.0,1,3.0,8.0,8.0,5.0,1,393,3,0,1,0,0
2,42,0,317,1,66.44,66.44,1,0.0,1,9.0,5.0,3.0,5.0,0,438,1,0,0,1,0
3,53,0,600,1,112.65,112.65,1,0.0,1,9.0,6.0,5.0,4.0,0,71,1,0,0,1,0
4,32,0,735,1,349.45,349.45,5,0.0,1,13.0,7.0,3.0,3.0,0,310,2,1,0,0,0
5,32,0,1284,1,131.96,131.96,1,0.0,1,17.0,9.0,4.0,5.0,1,325,3,0,1,0,0
6,53,0,735,1,150.41,150.41,3,8.92,1,19.0,13.0,2.0,3.0,1,336,2,1,0,0,0
7,44,0,317,1,49.1,49.1,2,0.0,1,15.0,8.0,7.0,5.0,0,379,1,0,0,1,0
8,29,0,735,1,55.89,55.89,1,3.04,1,13.0,3.0,14.0,3.0,0,73,1,0,0,1,0
9,41,0,257,1,215.13,215.13,2,13.61,1,22.0,9.0,5.0,5.0,1,398,1,0,0,1,0
10,29,0,257,1,770.72,770.72,1,0.0,1,11.0,8.0,11.0,4.0,1,104,1,0,0,1,0
11,29,0,1284,1,1090.15,1090.15,5,0.0,1,3.0,8.0,4.0,3.0,0,71,2,1,0,0,0
12,37,0,1284,1,53.73,53.73,1,0.0,1,3.0,6.0,10.0,4.0,1,171,3,0,1,0,0
13,18,0,317,1,30.18,30.18,1,0.0,1,9.0,9.0,14.0,3.0,1,406,1,0,0,1,0
14,18,0,735,1,284.16,284.16,1,0.0,1,12.0,16.0,2.0,3.0,0,148,1,0,0,1,0
15,28,0,1284,1,868.4,868.4,5,12.35,1,10.0,9.0,3.0,3.0,1,234,2,1,0,0,0
16,22,0,735,1,67.22,67.22,1,0.0,1,3.0,8.0,6.0,5.0,1,434,1,0,0,1,0
17,38,0,496,1,198.21,198.21,1,0.0,1,20.0,6.0,2.0,2.0,1,435,1,0,0,1,0
18,24,0,349,1,321.57,321.57,1,21.9,1,8.0,10.0,4.0,5.0,1,403,1,0,0,1,0
19,18,0,1284,1,303.91,303.91,1,0.0,1,9.0,4.0,6.0,1.0,1,339,3,0,1,0,0
20,52,0,1284,1,449.19,449.19,1,21.9,1,14.0,6.0,2.0,5.0,0,331,3,0,1,0,0
21,32,0,257,1,26.23,26.23,1,2.72,1,15.0,10.0,2.0,5.0,0,192,1,0,0,1,0
22,35,0,378,1,245.95,245.95,1,21.9,1,7.0,9.0,3.0,5.0,1,142,1,0,0,1,0
23,18,0,496,1,79.59,79.59,1,0.0,1,6.0,11.0,4.0,3.0,0,437,1,0,0,1,0
24,28,0,378,1,89.32,89.32,1,0.0,1,4.0,6.0,10.0,5.0,1,163,1,0,0,1,0
25,36,0,600,1,176.44,176.44,2,0.0,1,19.0,9.0,4.0,2.0,0,349,1,0,0,1,0
26,21,0,378,1,245.89,245.89,2,21.9,1,15.0,6.0,7.0,4.0,0,84,1,0,0,1,0
27,39,0,735,1,604.91,604.91,1,0.0,1,11.0,14.0,5.0,5.0,1,118,1,0,0,1,0
28,27,0,1284,1,230.37,230.37,1,0.0,1,3.0,7.0,4.0,4.0,1,91,3,0,1,0,0
29,31,0,378,1,2497.83,2497.83,1,0.0,1,12.0,11.0,7.0,4.0,1,171,1,0,0,1,0
30,27,0,600,1,131.13,131.13,1,0.0,1,34.0,8.0,5.0,2.0,0,236,1,0,0,1,0
31,57,0,210,1,88.67,88.67,1,0.0,1,11.0,8.0,7.0,2.0,1,338,1,0,0,1,0
32,34,0,735,1,41.88,41.88,2,0.0,1,12.0,10.0,7.0,2.0,0,221,1,0,0,1,0
33,22,0,257,1,2028.13,2028.13,4,21.9,1,11.0,6.0,3.0,5.0,1,149,2,1,0,0,0
34,44,0,257,1,9406.46,9406.46,2,0.0,1,6.0,9.0,10.0,1.0,1,308,0,0,0,0,1
35,20,0,1284,1,2424.48,2424.48,5,21.9,1,2.0,8.0,11.0,5.0,1,36,2,1,0,0,0
36,37,0,349,1,59.08,59.08,1,0.0,1,19.0,11.0,2.0,5.0,0,5,1,0,0,1,0
37,18,0,600,1,391.05,391.05,5,0.0,1,9.0,7.0,8.0,4.0,0,447,2,1,0,0,0
38,19,0,257,1,471.56,471.56,1,0.0,1,5.0,10.0,7.0,5.0,0,62,1,0,0,1,0
39,37,0,600,1,361.87,361.87,4,4.77,1,12.0,7.0,2.0,5.0,0,38,2,1,0,0,0
40,43,0,378,1,3767.04,3767.04,3,0.0,1,22.0,9.0,6.0,4.0,0,369,2,1,0,0,0
41,37,0,600,1,1058.96,1058.96,3,21.9,1,8.0,6.0,6.0,4.0,1,93,2,1,0,0,0
42,33,0,1284,1,650.45,650.45,5,0.0,1,4.0,12.0,3.0,5.0,1,234,2,1,0,0,0
43,31,0,1284,1,271.36,271.36,1,21.9,1,32.0,16.0,4.0,5.0,0,276,3,0,1,0,0
44,18,0,600,1,241.44,241.44,2,21.9,1,12.0,7.0,4.0,5.0,1,308,1,0,0,1,0
45,26,0,378,1,140.24,140.24,1,0.0,1,19.0,8.0,5.0,3.0,1,371,1,0,0,1,0
46,29,0,496,1,183.08,183.08,3,18.55,1,22.0,12.0,4.0,4.0,1,340,2,1,0,0,0
47,47,0,374,1,139.34,139.34,1,0.0,1,4.0,7.0,4.0,4.0,1,60,1,0,0,1,0
48,39,0,735,1,266.28,266.28,2,0.0,1,7.0,11.0,2.0,5.0,1,278,1,0,0,1,0
49,18,0,600,1,933.58,933.58,2,0.0,1,13.0,10.0,9.0,5.0,1,398,1,0,0,1,0
50,38,0,1284,1,1222.37,1222.37,1,0.0,1,10.0,10.0,4.0,4.0,0,403,3,0,1,0,0
51,30,0,349,1,101.46,101.46,1,13.4,1,7.0,11.0,5.0,5.0,1,256,1,0,0,1,0
52,26,0,210,1,1351.08,1351.08,2,0.0,1,16.0,8.0,11.0,1.0,1,401,1,0,0,1,0
53,42,0,600,1,3314.93,3314.93,1,0.0,1,16.0,8.0,3.0,5.0,1,267,1,0,0,1,0
54,47,0,1284,1,567.2,567.2,5,21.1,1,15.0,14.0,4.0,3.0,1,17,2,1,0,0,0
55,46,0,1284,1,199.44,199.44,2,21.9,1,14.0,6.0,7.0,5.0,1,274,3,0,1,0,0
56,24,0,374,1,97.88,97.88,1,20.87,1,16.0,9.0,8.0,2.0,0,141,1,0,0,1,0
57,31,0,496,1,844.32,844.32,4,0.0,1,21.0,11.0,3.0,2.0,1,315,2,1,0,0,0
58,38,0,349,1,187.42,187.42,1,0.0,1,9.0,9.0,6.0,1.0,0,37,1,0,0,1,0
59,46,0,735,1,19.74,19.74,1,0.0,1,28.0,8.0,3.0,5.0,1,428,1,0,0,1,0
60,29,0,378,1,21478.35,21478.35,3,0.0,1,9.0,8.0,3.0,4.0,1,77,0,0,0,0,1
